worker_id,worker_name,worker_profession,worker_experience,worker_rating,worker_number,worker_address,Latitude,Longitude
BD-0017,Naresh Gupta,General Contractor,15.0,3.7,9325942233,"Juhi, Kanpur",26.478033,80.320178
BD-0018,Ajay Pal,General Contractor,7.0,4.0,9597498959,"Panki, Kanpur",26.489339,80.350492
BD-0019,Salman Tiwari,Electrician,2.0,4.4,9441526614,"Ganga Barrage, Kanpur",26.430066,80.283494
BD-0020,Amit Tiwari,Mason,12.0,5.0,9268769147,"Tilak Nagar, Kanpur",26.410903,80.328089
BD-0021,Amit Mishra,Mason,20.0,3.8,9910294499,"Kakadeo, Kanpur",26.463758,80.337772
BD-0022,Manoj Khan,Structural Engineer,21.0,4.4,9494475248,"Fazal Ganj, Kanpur",26.396756,80.374533
BD-0023,Arjun Khan,Mason,2.0,3.9,9715768412,"Barra 1, Kanpur",26.457328,80.314708
BD-0024,Rahul Gupta,Tiler,9.0,5.0,9337191687,"Jajmau, Kanpur",26.437403,80.389575
BD-0025,Rohit Sharma,Handyman,18.0,3.6,9514627646,"Swaroop Nagar, Kanpur",26.436883,80.339381
BD-0026,Gaurav Sharma,Electrician,20.0,4.2,9037267335,"Ashok Nagar, Kanpur",26.395245,80.357853
BD-0027,Vikas Srivastava,Electrician,10.0,4.8,9949970999,"Pandu Nagar, Kanpur",26.459965,80.283767
BD-0028,Rohit Singh,Welder,20.0,4.8,9096365437,"Darshan Purwa, Kanpur",26.503399,80.340775
BD-0029,Ankit Tiwari,Tiler,3.0,3.9,9654126345,"Kidwai Nagar, Kanpur",26.428945,80.410928
BD-0030,Sandeep Gupta,Roofer,4.0,4.3,9624380547,"Fazal Ganj, Kanpur",26.393718,80.364138
BD-0031,Ankit Srivastava,Mason,3.0,4.6,9133325804,"Juhi, Kanpur",26.495034,80.390181
BD-0032,Naresh Verma,Drywaller,11.0,3.6,9069830187,"Naubasta, Kanpur",26.464527,80.388066
BD-0033,Ankit Maurya,Carpenter,21.0,4.0,9576393433,"Becon Ganj, Kanpur",26.410882,80.363766
BD-0034,Rahul Pal,Welder,15.0,3.8,9315730710,"Bhauti, Kanpur",26.442431,80.278361
BD-0035,Arjun Gupta,Mason,21.0,4.5,9011477943,"Eldeco Colony, Kanpur",26.418673,80.285623
BD-0036,Imran Pandey,Mason,8.0,3.9,9840907423,"Govind Nagar, Kanpur",26.3863,80.342691
BD-0037,Vikas Tripathi,Carpenter,12.0,3.7,9703862637,"Barra 1, Kanpur",26.49451,80.369365
BD-0038,Vijay Singh,Roofer,7.0,4.3,9654078105,"Swaroop Nagar, Kanpur",26.393212,80.377763
BD-0039,Imran Pandey,Glazier,20.0,4.5,9551900329,"Chakeri, Kanpur",26.406469,80.327852
BD-0040,Ankit Sharma,Structural Engineer,1.0,4.0,9760280340,"Moti Jheel, Kanpur",26.466202,80.330148
BD-0041,Naresh Pal,Structural Engineer,14.0,4.3,9552654814,"Mandhana, Kanpur",26.411378,80.33081
BD-0042,Gaurav Singh,General Contractor,4.0,4.1,9815195987,"Arya Nagar, Kanpur",26.44838,80.274287
BD-0043,Vijay Mishra,Mason,11.0,4.6,9907740205,"Tilak Nagar, Kanpur",26.456329,80.364132
BD-0044,Prakash Pal,Mason,1.0,4.7,9012436521,"Pandu Nagar, Kanpur",26.444312,80.287231
BD-0045,Manoj Yadav,Drywaller,4.0,4.1,9099242808,"Chakeri, Kanpur",26.514699,80.331329
BD-0046,Arjun Gupta,Roofer,6.0,4.1,9677496567,"Panki, Kanpur",26.416657,80.268676
BD-0047,Prakash Mishra,Glazier,21.0,4.1,9350453510,"Mandhana, Kanpur",26.453927,80.323555
BD-0048,Imran Mishra,General Contractor,12.0,3.9,9311220565,"Barra 4, Kanpur",26.447749,80.413972
BD-0049,Rahul Khan,Mason,4.0,4.7,9237072266,"Civil Lines, Kanpur",26.502266,80.298908
BD-0050,Imran Pandey,Construction Laborer,10.0,4.9,9460023236,"Shastri Nagar, Kanpur",26.452853,80.381612
BD-0051,Ankit Sharma,HVAC Technician,12.0,4.4,9030647605,"Birhana Road, Kanpur",26.498309,80.326185
BD-0052,Nikhil Tiwari,General Contractor,5.0,3.9,9261251972,"Bhauti, Kanpur",26.385167,80.409822
BD-0053,Prakash Mishra,Construction Laborer,20.0,4.4,9395207814,"Bithoor, Kanpur",26.486513,80.318019
BD-0054,Sandeep Mishra,Handyman,3.0,3.6,9217649216,"Fazal Ganj, Kanpur",26.443759,80.299183
BD-0055,Nikhil Maurya,Handyman,14.0,4.2,9887041465,"Harsh Nagar, Kanpur",26.501504,80.270699
BD-0056,Imran Verma,Welder,10.0,4.7,9145047824,"Chakeri, Kanpur",26.48447,80.336465
BD-0057,Nikhil Khan,Drywaller,22.0,4.2,9468463157,"Darshan Purwa, Kanpur",26.517116,80.281385
BD-0058,Arjun Maurya,Landscaper,1.0,4.5,9827119934,"Shastri Nagar, Kanpur",26.488729,80.301609
BD-0059,Imran Yadav,Plumber,2.0,3.9,9240632872,"Naubasta, Kanpur",26.47762,80.298956
BD-0060,Gaurav Srivastava,Landscaper,5.0,3.7,9355128915,"Kakadeo, Kanpur",26.462748,80.372947
BD-0061,Vijay Pandey,Architect,6.0,4.9,9762213885,"Mall Road, Kanpur",26.458382,80.283064
BD-0062,Vijay Sharma,Mason,16.0,4.5,9669474060,"Harsh Nagar, Kanpur",26.389492,80.36635
BD-0063,Sandeep Srivastava,Architect,10.0,4.4,9365045013,"Ashok Nagar, Kanpur",26.413017,80.282052
BD-0064,Deepak Pandey,Painter,13.0,3.6,9590013171,"G.T. Road, Kanpur",26.484626,80.295982
BD-0065,Vijay Verma,Construction Laborer,8.0,4.2,9175902489,"Armapur Estate, Kanpur",26.417788,80.304709
BD-0066,Arjun Khan,Landscaper,11.0,4.6,9308623560,"Moti Jheel, Kanpur",26.515404,80.29261
BD-0067,Prakash Gupta,Structural Engineer,9.0,3.7,9514389362,"Ganga Barrage, Kanpur",26.409153,80.264963
BD-0068,Gaurav Tripathi,General Contractor,9.0,4.6,9355884980,"Kidwai Nagar, Kanpur",26.39532,80.308137
BD-0069,Salman Yadav,HVAC Technician,15.0,4.6,9014974876,"Juhi, Kanpur",26.473449,80.258179
BD-0070,Amit Mishra,Structural Engineer,12.0,4.3,9653929850,"G.T. Road, Kanpur",26.416014,80.252869
BD-0071,Amit Tripathi,Flooring Installer,20.0,3.9,9082387694,"Barra 5, Kanpur",26.452771,80.390174
BD-0072,Nikhil Tripathi,Welder,2.0,4.5,9161233446,"Jawahar Nagar, Kanpur",26.400956,80.391336
BD-0073,Sandeep Yadav,Electrician,14.0,5.0,9676079558,"Civil Lines, Kanpur",26.472757,80.3152
BD-0074,Naresh Sharma,Drywaller,3.0,4.5,9471486366,"Bithoor, Kanpur",26.503199,80.353465
BD-0075,Deepak Yadav,Roofer,18.0,4.7,9150621827,"Jawahar Nagar, Kanpur",26.389934,80.250177
BD-0076,Rohit Yadav,Welder,4.0,4.5,9507105044,"Birhana Road, Kanpur",26.483168,80.270514
BD-0077,Arjun Verma,Carpenter,1.0,4.1,9728552414,"Barra 3, Kanpur",26.490851,80.282509
BD-0078,Ankit Tiwari,Landscaper,21.0,3.7,9343413653,"Azad Nagar, Kanpur",26.51159,80.36978
BD-0079,Arjun Gupta,Handyman,5.0,4.8,9853574589,"Harsh Nagar, Kanpur",26.438038,80.337022
BD-0080,Amit Singh,Architect,7.0,4.2,9030876821,"G.T. Road, Kanpur",26.407131,80.403324
BD-0081,Sandeep Mishra,Roofer,2.0,4.2,9319919173,"Barra 3, Kanpur",26.420604,80.408288
BD-0082,Prakash Srivastava,Roofer,16.0,3.8,9779691998,"Harjinder Nagar, Kanpur",26.389613,80.409307
BD-0083,Nikhil Verma,Tiler,9.0,4.2,9181373259,"Yashoda Nagar, Kanpur",26.419746,80.399335
BD-0084,Ravi Tiwari,Mason,5.0,3.7,9309269360,"Kakadeo, Kanpur",26.444202,80.308836
BD-0085,Sandeep Pandey,Electrician,10.0,3.9,9348312662,"Pandu Nagar, Kanpur",26.433333,80.395471
BD-0086,Ankit Sharma,Welder,6.0,4.6,9727705794,"Lal Bangla, Kanpur",26.466529,80.410727
BD-0087,Gaurav Verma,Painter,4.0,4.6,9556204177,"Barra 6, Kanpur",26.380728,80.266115
BD-0088,Arjun Pandey,General Contractor,18.0,3.8,9491309011,"Kalpi Road, Kanpur",26.490636,80.389167
BD-0089,Amit Yadav,Architect,19.0,3.8,9222008212,"Chakeri, Kanpur",26.443785,80.336267
BD-0090,Deepak Srivastava,Drywaller,1.0,4.0,9984056028,"Dada Nagar, Kanpur",26.442384,80.341881
BD-0091,Ankit Singh,Architect,22.0,4.4,9952453550,"Barra 4, Kanpur",26.419726,80.323511
BD-0092,Deepak Pandey,Structural Engineer,10.0,3.6,9139816282,"Mall Road, Kanpur",26.47899,80.257234
BD-0093,Vikas Verma,HVAC Technician,9.0,3.9,9437309910,"Mall Road, Kanpur",26.443255,80.395486
BD-0094,Naresh Pandey,Electrician,20.0,3.7,9697359870,"Ganga Barrage, Kanpur",26.471324,80.403066
BD-0095,Naresh Mishra,Painter,17.0,3.7,9111262347,"Ganga Barrage, Kanpur",26.386401,80.282531
BD-0096,Naresh Gupta,Structural Engineer,8.0,3.9,9287454965,"Harsh Nagar, Kanpur",26.409159,80.34459
BD-0097,Prakash Gupta,Landscaper,1.0,4.1,9978997735,"Barra 7, Kanpur",26.505809,80.351806
BD-0098,Naresh Sharma,Civil Engineer,9.0,4.1,9332805889,"Bithoor, Kanpur",26.489714,80.291113
BD-0099,Manoj Pandey,Landscaper,14.0,4.7,9262801180,"Barra 7, Kanpur",26.43226,80.307002
BD-0100,Ankit Tripathi,Plumber,13.0,3.8,9145689037,"Govind Nagar, Kanpur",26.430975,80.293844
BD-0101,Salman Sharma,Painter,21.0,4.3,9010529245,"Jajmau, Kanpur",26.443131,80.32387
BD-0102,Arjun Yadav,Tiler,2.0,4.7,9599136019,"Moti Jheel, Kanpur",26.488229,80.263137
BD-0103,Deepak Verma,Flooring Installer,18.0,4.3,9318125935,"Swaroop Nagar, Kanpur",26.509661,80.382956
BD-0104,Ravi Maurya,HVAC Technician,21.0,4.7,9792837874,"Mall Road, Kanpur",26.479229,80.344346
BD-0105,Sandeep Tiwari,Architect,10.0,4.4,9107759514,"Harjinder Nagar, Kanpur",26.466317,80.304389
BD-0106,Rahul Singh,Roofer,1.0,4.1,9927004324,"Moti Jheel, Kanpur",26.447654,80.379675
BD-0107,Gaurav Verma,Structural Engineer,13.0,4.9,9801909657,"Indira Nagar, Kanpur",26.51158,80.252125
BD-0108,Ankit Tripathi,Glazier,16.0,3.7,9877865616,"Mall Road, Kanpur",26.492648,80.347285
BD-0109,Sandeep Mishra,Welder,15.0,4.3,9379891755,"Barra 6, Kanpur",26.477547,80.342711
BD-0110,Sandeep Singh,Civil Engineer,8.0,4.8,9346533280,"Kalpi Road, Kanpur",26.448048,80.252485
BD-0111,Nikhil Sharma,Structural Engineer,11.0,4.8,9649160291,"Becon Ganj, Kanpur",26.49693,80.322267
BD-0112,Nikhil Pandey,Mason,3.0,5.0,9189858010,"Vikas Nagar, Kanpur",26.445501,80.307639
BD-0113,Naresh Tiwari,Glazier,16.0,4.3,9477824842,"Barra 3, Kanpur",26.444079,80.395463
BD-0114,Gaurav Verma,Roofer,3.0,3.8,9990313666,"Bhauti, Kanpur",26.493525,80.362862
BD-0115,Rahul Sharma,Civil Engineer,21.0,4.7,9265300302,"Barra 1, Kanpur",26.503579,80.302335
BD-0116,Deepak Tiwari,Landscaper,2.0,4.5,9054592187,"Juhi, Kanpur",26.508124,80.385436
BD-0117,Sandeep Singh,Roofer,18.0,3.8,9316292416,"Ratan Lal Nagar, Kanpur",26.476299,80.271343
BD-0118,Vijay Pal,Carpenter,1.0,5.0,9479096388,"Kalyanpur, Kanpur",26.402267,80.369164
BD-0119,Deepak Tiwari,Plumber,9.0,3.6,9614206206,"Indira Nagar, Kanpur",26.383054,80.26096
BD-0120,Vijay Maurya,Drywaller,4.0,4.4,9003968520,"Barra 3, Kanpur",26.495317,80.255147
BD-0121,Deepak Srivastava,Flooring Installer,9.0,4.5,9413400437,"Barra 1, Kanpur",26.500898,80.26308
BD-0122,Rahul Pandey,Handyman,20.0,4.6,9475160485,"Lajpat Nagar, Kanpur",26.465866,80.306313
BD-0123,Ravi Gupta,Painter,17.0,4.4,9486844428,"Kalyanpur, Kanpur",26.443195,80.355025
BD-0124,Nikhil Pandey,General Contractor,3.0,4.2,9100073879,"Ashok Nagar, Kanpur",26.492715,80.400915
BD-0125,Vijay Khan,Plumber,16.0,4.3,9431227001,"Pandu Nagar, Kanpur",26.411059,80.341926
BD-0126,Deepak Mishra,Landscaper,9.0,4.4,9780902921,"Kidwai Nagar, Kanpur",26.446594,80.25213
BD-0127,Ajay Mishra,Construction Laborer,22.0,4.2,9383882550,"Ganga Barrage, Kanpur",26.415848,80.401745
BD-0128,Arjun Mishra,Roofer,13.0,5.0,9884936269,"Shyam Nagar, Kanpur",26.513174,80.396432
BD-0129,Gaurav Srivastava,Structural Engineer,11.0,4.4,9541212700,"Kalyanpur, Kanpur",26.475119,80.384823
BD-0130,Imran Gupta,Landscaper,22.0,4.0,9942708098,"Lajpat Nagar, Kanpur",26.475053,80.40357
BD-0131,Gaurav Sharma,General Contractor,14.0,5.0,9672245490,"Eldeco Colony, Kanpur",26.389079,80.258554
BD-0132,Naresh Verma,Welder,17.0,4.3,9105216722,"Fazal Ganj, Kanpur",26.429624,80.39542
BD-0133,Prakash Tiwari,Landscaper,5.0,4.9,9448678422,"Barra 1, Kanpur",26.427234,80.403484
BD-0134,Nikhil Tiwari,Roofer,17.0,3.7,9281678489,"Harsh Nagar, Kanpur",26.466508,80.267098
BD-0135,Nikhil Sharma,Painter,5.0,4.1,9592099564,"Vishnupuri, Kanpur",26.41812,80.37109
BD-0136,Ajay Pal,Roofer,16.0,4.8,9918222432,"G.T. Road, Kanpur",26.494243,80.296345
BD-0137,Rahul Verma,Landscaper,22.0,4.6,9875502768,"Jawahar Nagar, Kanpur",26.494784,80.273909
BD-0138,Salman Yadav,Handyman,22.0,4.8,9217183898,"Arya Nagar, Kanpur",26.515309,80.333979
BD-0139,Prakash Tripathi,Construction Laborer,18.0,3.9,9060657282,"Barra 4, Kanpur",26.431205,80.348548
BD-0140,Prakash Tripathi,Glazier,10.0,3.8,9335365854,"Juhi, Kanpur",26.42097,80.310177
BD-0141,Prakash Mishra,Mason,6.0,4.8,9749506507,"Arya Nagar, Kanpur",26.392803,80.387893
BD-0142,Sandeep Srivastava,Mason,20.0,4.3,9751634542,"General Ganj, Kanpur",26.491598,80.384948
BD-0143,Ankit Srivastava,Painter,9.0,4.6,9791317346,"Barra 1, Kanpur",26.453661,80.412383
BD-0144,Sandeep Yadav,HVAC Technician,11.0,4.7,9886645134,"Arya Nagar, Kanpur",26.485972,80.363726
BD-0145,Rohit Verma,Drywaller,15.0,4.2,9761725858,"Kalpi Road, Kanpur",26.474842,80.322714
BD-0146,Gaurav Sharma,Painter,9.0,4.3,9026931251,"Kalpi Road, Kanpur",26.488686,80.255442
BD-0147,Nikhil Khan,Electrician,6.0,3.9,9344735598,"Bhauti, Kanpur",26.38782,80.341651
BD-0148,Nikhil Singh,Welder,3.0,4.0,9859361882,"Yashoda Nagar, Kanpur",26.488712,80.348042
BD-0149,Imran Maurya,Roofer,8.0,4.4,9997898985,"Pandu Nagar, Kanpur",26.381241,80.30073
BD-0150,Salman Tripathi,Handyman,1.0,4.8,9648868499,"Harsh Nagar, Kanpur",26.435497,80.348807
BD-0151,Salman Sharma,HVAC Technician,19.0,3.9,9304564774,"Ratan Lal Nagar, Kanpur",26.381621,80.297374
BD-0152,Vikas Tripathi,Architect,10.0,4.7,9652905913,"Chakeri, Kanpur",26.437314,80.343616
BD-0153,Ankit Tripathi,Tiler,19.0,3.8,9114014937,"Darshan Purwa, Kanpur",26.409802,80.275086
BD-0154,Naresh Srivastava,Civil Engineer,12.0,3.9,9027398147,"Naubasta, Kanpur",26.461903,80.374389
BD-0155,Amit Mishra,Painter,17.0,4.0,9697451195,"Juhi, Kanpur",26.457953,80.265786
BD-0156,Rohit Verma,HVAC Technician,11.0,4.1,9255425243,"Shastri Nagar, Kanpur",26.468814,80.299923
BD-0157,Arjun Gupta,Architect,5.0,5.0,9299501016,"Yashoda Nagar, Kanpur",26.426117,80.267927
BD-0158,Deepak Khan,Welder,22.0,4.2,9743995718,"Nayaganj, Kanpur",26.415526,80.399476
BD-0159,Prakash Srivastava,General Contractor,12.0,3.9,9386683242,"Ratan Lal Nagar, Kanpur",26.519414,80.324753
BD-0160,Sandeep Pal,Glazier,4.0,3.6,9839415202,"Panki, Kanpur",26.508795,80.257152
BD-0161,Deepak Verma,Glazier,3.0,4.4,9824704928,"Saket Nagar, Kanpur",26.494776,80.324737
BD-0162,Nikhil Khan,Carpenter,11.0,4.7,9610601074,"Barra 7, Kanpur",26.411557,80.405685
BD-0163,Deepak Gupta,Electrician,7.0,4.4,9753249109,"Lajpat Nagar, Kanpur",26.420059,80.402698
BD-0164,Ankit Sharma,Mason,9.0,4.1,9188622383,"Fazal Ganj, Kanpur",26.397193,80.321588
BD-0165,Vijay Gupta,Carpenter,5.0,4.7,9972634179,"Becon Ganj, Kanpur",26.386808,80.323068
BD-0166,Vijay Verma,Roofer,10.0,5.0,9453335587,"Ganga Barrage, Kanpur",26.423948,80.261479
BD-0167,Imran Gupta,Roofer,9.0,4.3,9684679160,"Darshan Purwa, Kanpur",26.400995,80.403395
BD-0168,Ankit Sharma,Landscaper,10.0,4.3,9387339420,"Kalpi Road, Kanpur",26.443292,80.339811
BD-0169,Naresh Pandey,Electrician,5.0,4.8,9407606483,"Barra 7, Kanpur",26.395067,80.271088
BD-0170,Gaurav Pandey,Mason,20.0,3.8,9678213338,"Fazal Ganj, Kanpur",26.414904,80.359815
BD-0171,Imran Srivastava,Handyman,10.0,4.5,9539536182,"Ganga Barrage, Kanpur",26.42115,80.379467
BD-0172,Deepak Verma,Civil Engineer,5.0,4.6,9963479366,"Azad Nagar, Kanpur",26.50098,80.375655
BD-0173,Manoj Pal,Construction Laborer,11.0,4.4,9842099670,"Naubasta, Kanpur",26.492839,80.310256
BD-0174,Rohit Srivastava,Tiler,13.0,4.5,9387037838,"Harjinder Nagar, Kanpur",26.499263,80.347493
BD-0175,Amit Singh,Landscaper,6.0,3.9,9000850518,"Ashok Nagar, Kanpur",26.420087,80.410692
BD-0176,Prakash Tripathi,HVAC Technician,21.0,5.0,9529220035,"Vikas Nagar, Kanpur",26.426563,80.399548
BD-0177,Ankit Mishra,Drywaller,4.0,4.4,9613180129,"Shyam Nagar, Kanpur",26.392378,80.292246
BD-0178,Rahul Khan,Drywaller,21.0,4.0,9198347804,"Darshan Purwa, Kanpur",26.462656,80.327472
BD-0179,Nikhil Srivastava,Flooring Installer,15.0,4.2,9379172368,"Govind Nagar, Kanpur",26.415955,80.270189
BD-0180,Vikas Pandey,Glazier,21.0,3.9,9024848262,"Tilak Nagar, Kanpur",26.49844,80.392464
BD-0181,Amit Gupta,Roofer,10.0,3.6,9208647920,"Harsh Nagar, Kanpur",26.493259,80.284661
BD-0182,Vikas Srivastava,Mason,7.0,4.2,9556900883,"Govind Nagar, Kanpur",26.470583,80.419817
BD-0183,Nikhil Tripathi,Plumber,6.0,4.4,9289255194,"Jajmau, Kanpur",26.406309,80.339354
BD-0184,Arjun Mishra,Welder,14.0,4.5,9763096240,"Yashoda Nagar, Kanpur",26.422365,80.325458
BD-0185,Arjun Pal,Drywaller,13.0,4.8,9324653806,"Arya Nagar, Kanpur",26.472895,80.308504
BD-0186,Gaurav Yadav,Structural Engineer,7.0,4.4,9818076756,"Harsh Nagar, Kanpur",26.407173,80.318015
BD-0187,Gaurav Tiwari,Construction Laborer,1.0,4.7,9682801137,"Mandhana, Kanpur",26.466975,80.259151
BD-0188,Salman Mishra,Carpenter,21.0,4.4,9048483653,"Ashok Nagar, Kanpur",26.456336,80.340483
BD-0189,Salman Verma,Mason,13.0,3.9,9789253750,"Lajpat Nagar, Kanpur",26.490495,80.404206
BD-0190,Ravi Gupta,Flooring Installer,14.0,3.6,9489622858,"Harsh Nagar, Kanpur",26.503334,80.310345
BD-0191,Imran Maurya,Landscaper,21.0,4.8,9122377122,"Civil Lines, Kanpur",26.45543,80.332015
BD-0192,Ankit Khan,General Contractor,15.0,4.9,9922154397,"Panki, Kanpur",26.404389,80.263391
BD-0193,Deepak Pal,Roofer,8.0,3.8,9424671513,"Swaroop Nagar, Kanpur",26.430768,80.413298
BD-0194,Vikas Sharma,Mason,14.0,4.9,9085479164,"Swaroop Nagar, Kanpur",26.41737,80.360156
BD-0195,Ravi Maurya,Carpenter,20.0,5.0,9752286536,"G.T. Road, Kanpur",26.380873,80.410403
BD-0196,Rahul Pandey,Tiler,21.0,4.2,9050969529,"Barra 4, Kanpur",26.451484,80.280648
BD-0197,Naresh Singh,Structural Engineer,13.0,4.4,9908780736,"Panki, Kanpur",26.519371,80.353165
BD-0198,Ankit Tripathi,Plumber,13.0,4.0,9718785500,"Chunni Ganj, Kanpur",26.453378,80.415852
BD-0199,Arjun Pandey,Handyman,11.0,4.1,9642791684,"Harsh Nagar, Kanpur",26.499995,80.354096
BD-0200,Amit Tiwari,Roofer,5.0,4.3,9809176641,"Saket Nagar, Kanpur",26.39883,80.336369
BD-0201,Vijay Yadav,Electrician,13.0,4.2,9389043004,"Chunni Ganj, Kanpur",26.478041,80.2821
BD-0202,Sandeep Gupta,Structural Engineer,11.0,5.0,9756627905,"Tilak Nagar, Kanpur",26.517982,80.310583
BD-0203,Imran Tripathi,Landscaper,13.0,4.1,9396128856,"Chakeri, Kanpur",26.505671,80.263891
BD-0204,Vikas Singh,Painter,2.0,3.9,9172590695,"Becon Ganj, Kanpur",26.469283,80.337581
BD-0205,Ankit Pal,Flooring Installer,3.0,5.0,9546170762,"Sarvodaya Nagar, Kanpur",26.407033,80.299334
BD-0206,Vikas Yadav,Civil Engineer,6.0,4.4,9946319543,"Armapur Estate, Kanpur",26.519695,80.369439
BD-0207,Gaurav Khan,Handyman,17.0,4.5,9913617256,"Dada Nagar, Kanpur",26.492242,80.272484
BD-0208,Imran Srivastava,Mason,18.0,3.6,9012216676,"Shyam Nagar, Kanpur",26.465984,80.370834
BD-0209,Rahul Pandey,Plumber,17.0,3.7,9243624270,"Arya Nagar, Kanpur",26.497985,80.26564
BD-0210,Nikhil Srivastava,Tiler,11.0,4.2,9005905792,"Harjinder Nagar, Kanpur",26.387523,80.284383
BD-0211,Ravi Tiwari,Handyman,18.0,4.8,9807884764,"Barra 6, Kanpur",26.498909,80.302991
BD-0212,Ankit Sharma,Welder,14.0,4.7,9143958413,"Tilak Nagar, Kanpur",26.470898,80.39153
BD-0213,Manoj Tripathi,HVAC Technician,19.0,4.9,9179647988,"Saket Nagar, Kanpur",26.407797,80.376448
BD-0214,Nikhil Srivastava,Mason,18.0,4.5,9316030456,"Vikas Nagar, Kanpur",26.411492,80.325656
BD-0215,Sandeep Sharma,General Contractor,8.0,4.2,9897495248,"Jawahar Nagar, Kanpur",26.511613,80.389253
BD-0216,Amit Verma,Landscaper,4.0,3.8,9172597396,"Lal Bangla, Kanpur",26.439102,80.367589
BD-0217,Prakash Maurya,Architect,4.0,4.1,9521670095,"Azad Nagar, Kanpur",26.430813,80.370513
BD-0218,Nikhil Tripathi,Civil Engineer,7.0,4.7,9777277084,"Ratan Lal Nagar, Kanpur",26.455079,80.409687
BD-0219,Naresh Yadav,Construction Laborer,7.0,4.1,9214329958,"Naubasta, Kanpur",26.50894,80.278361
BD-0220,Naresh Verma,HVAC Technician,5.0,4.2,9897021528,"Barra 5, Kanpur",26.388181,80.347055
BD-0221,Gaurav Yadav,Welder,18.0,4.3,9981467698,"Nayaganj, Kanpur",26.393982,80.407417
BD-0222,Sandeep Tripathi,Structural Engineer,15.0,4.6,9842628273,"Nawabganj, Kanpur",26.396562,80.349818
BD-0223,Arjun Sharma,HVAC Technician,17.0,3.9,9030758595,"Lajpat Nagar, Kanpur",26.398602,80.415548
BD-0224,Rohit Mishra,Structural Engineer,18.0,3.8,9627314270,"Shastri Nagar, Kanpur",26.501603,80.31011
BD-0225,Prakash Pandey,Landscaper,16.0,4.3,9807024532,"Lal Bangla, Kanpur",26.431157,80.316084
BD-0226,Sandeep Srivastava,Painter,8.0,5.0,9657008151,"Mandhana, Kanpur",26.381532,80.351527
BD-0227,Ajay Tripathi,Flooring Installer,15.0,4.6,9472145334,"Jajmau, Kanpur",26.41451,80.325657
BD-0228,Ravi Sharma,Painter,7.0,4.9,9708853350,"Bhauti, Kanpur",26.414007,80.309344
BD-0229,Vijay Yadav,Welder,12.0,3.7,9322964139,"Arya Nagar, Kanpur",26.441451,80.294147
BD-0230,Rahul Gupta,Landscaper,2.0,4.7,9663783836,"Kalyanpur, Kanpur",26.510661,80.316409
BD-0231,Naresh Pal,Landscaper,12.0,3.9,9521692571,"Nayaganj, Kanpur",26.519663,80.402702
BD-0232,Gaurav Mishra,General Contractor,22.0,4.7,9954252721,"Vishnupuri, Kanpur",26.490821,80.417308
BD-0233,Vikas Gupta,Civil Engineer,13.0,3.6,9025923144,"Kalyanpur, Kanpur",26.409163,80.391751
BD-0234,Naresh Mishra,Landscaper,9.0,4.8,9125222827,"Nawabganj, Kanpur",26.49999,80.291967
BD-0235,Rohit Yadav,Plumber,2.0,4.0,9424153335,"Birhana Road, Kanpur",26.400727,80.302664
BD-0236,Nikhil Tiwari,Landscaper,4.0,4.3,9560318649,"Civil Lines, Kanpur",26.3918,80.267042
BD-0237,Vikas Verma,Handyman,5.0,4.3,9258246454,"Naubasta, Kanpur",26.406728,80.266713
